Energy, Prop. cost, Ortho. cost, Map. cost, Total
 273.517, 2.14133e-25, 0, 0,
 250.927, 9.80187e-25, 0, 1.1921,
 241.564, 7.35243e-25, 0, 1.12789,
 235.261, 1.26249e-24, 0, 0.576846,
 232.962, 1.06528e-24, 0, 0.214315,
 230.641, 3.1377e-26, 0, 0.240536,
 229.392, 1.46351e-26, 0, 0.161001,
 137.052, 7.23771e-25, 3.77079e-27, 0,
 114.912, 5.72948e-26, 3.36721e-25, 0.83324,
 112.781, 1.6922e-25, 1.70372e-25, 0.370792,
 112.178, 2.43719e-26, 1.03666e-25, 0.280098,

