Energy, Prop. cost, Ortho. cost, Map. cost, Total
 2.34958e+09, 4.75759e-11, 0, 0,
 2.22413e+09, 1.7122e-11, 0, 2336.93,
 2.18731e+09, 5.7137e-12, 0, 1991.05,
 2.17411e+09, 1.3307e-11, 0, 360.669,
 1.70303e+09, 5.21849e-12, 2.52281e-12, 0,
 1.46832e+09, 1.83877e-13, 3.32537e-13, 871.709,
 1.42571e+09, 6.29168e-12, 1.48766e-13, 918.17,
 1.40086e+09, 2.29611e-12, 5.04828e-13, 554.061,
 1.39213e+09, 1.95044e-12, 3.03688e-13, 579.297,

